��ת�ǣ�չ����: ���� -280.88 ��   EKF -430.00 ��
|w| ��λ: p50 0.30 p90 61.24 p99 185.81 max 399.64 dps
|ekf_q|<0.9 ��֡: 8 ��, �±� [0 1 2 3 4 5 6 7]

    t     ����ƫ��   EKFƫ��   �Ųв�r   |w|dps   tilt mag  chi2
  0.25      -0.04    -172.33     -0.79      0.34    1    1    0
  0.50      -0.04    -172.35     -0.78      0.26    1    1    0
  0.75      -0.04    -172.35     +0.26      0.15    1    1    0
  1.00      -0.04    -172.27     -0.70      0.12    1    1    0
  1.25      -0.05    -172.31     +0.33      0.30    1    0    0
  1.50      -0.05    -172.38     +0.27      0.21    1    1    0
  1.75      -0.05    -172.35     +0.26      0.15    1    1    0
  2.00      -0.05    -172.35     +0.25      0.30    1    1    0
  2.25      -0.04    -172.32     +0.28      0.15    1    1    0
  2.50      -0.05    -172.29     +0.32      0.14    1    1    0
  2.75      -0.04    -172.29     +0.31      0.27    1    1    0
  3.00      -0.04    -172.31     -0.78      0.29    1    1    0
  3.25      -0.04    -172.30     +0.32      0.30    1    1    0
  3.50      -0.04    -172.27     -0.72      0.23    1    1    0
  3.75      -0.04    -172.30     -0.79      0.16    1    0    0
  4.00      -0.05    -172.31     -0.76      0.16    1    1    0
  4.25      -0.04    -172.29     +0.34      0.19    1    1    0
  4.50      -0.04    -172.25     +0.32      0.09    1    1    0
  4.75      -0.04    -172.30     -0.69      0.19    1    1    0
  5.00      -0.04    -172.31     +0.29      0.26    1    0    0
  5.25      -0.02    -172.32     -0.25      2.54    0    1    0
  5.50      -0.79    -172.86     +0.04      4.06    0    0    0
  5.75      -1.19    -173.22     +0.87     43.36    0    0    0
  6.00     -29.18    -192.95    +14.77    108.29    0    0    0
  6.25     -57.85    -212.86    +26.43    127.73    0    0    0
  6.50     -78.81    -227.48    +33.81     62.34    0    0    0
  6.75     -89.46    -234.98    +39.97     56.37    0    0    0
  7.00     -93.35    -238.79    +41.94      1.65    1    0    1
  7.25     -91.90    -239.83    +38.93     15.79    0    0    0
  7.50     -90.57    -240.90    +36.22      9.55    0    1    0
  7.75     -88.74    -241.53    +34.23      0.49    1    0    1
  8.00     -88.71    -243.94    +31.93      0.33    1    0    1
  8.25     -88.70    -246.43    +28.72      0.32    1    0    1
  8.50     -88.70    -248.96    +26.92      0.44    1    0    1
  8.75     -88.70    -251.46    +24.50      0.22    1    0    1
  9.00     -88.70    -253.93    +21.27      0.42    1    0    1
  9.25     -88.70    -256.32    +19.39      0.31    1    0    1
  9.50     -88.70    -258.61    +17.26      0.33    1    0    1
  9.75     -88.69    -260.79    +15.10      0.40    1    0    1
 10.00     -88.69    -262.84    +13.01      0.35    1    0    1
 10.25     -88.69    -264.73    +10.48      0.24    1    1    0
 10.50     -88.69    -266.32     +9.56      0.37    1    0    1
 10.75     -88.70    -272.61     +3.12      0.34    1    1    0
 11.00     -88.70    -275.49     -0.43      0.29    1    1    0
 11.25     -88.70    -275.93     -0.19      0.25    1    1    0
 11.50     -88.70    -276.15     -0.24      0.31    1    1    0
 11.75     -88.70    -276.24     -1.02      0.29    1    1    0
 12.00     -88.70    -276.27     -0.36      0.20    1    1    0
 12.25     -98.50    -283.14     +3.45    118.20    0    0    0
 12.50    -130.53    -305.66    +29.74    194.19    0    0    0
 12.75    -164.64    -330.15    -14.24    124.16    0    0    0
 13.00    -185.71    -345.22    -10.66     84.10    0    0    1
 13.25    -191.32    -349.59     -8.46     27.32    0    0    0
 13.50    -177.56    -340.49    -10.23     50.87    0    0    0
 13.75    -173.22    -337.53    -11.49     12.01    0    0    1
 14.00    -175.50    -339.12    -10.23     60.77    0    0    0
 14.25    -186.74    -347.34     -8.75     27.20    0    0    1
 14.50    -186.74    -347.51     -8.76     12.69    0    0    1
 14.75    -182.14    -344.45     -8.83     69.27    0    0    0
 15.00    -182.30    -344.68     -8.81     33.34    0    0    0
 15.25    -185.47    -347.02     -8.44     16.11    0    0    1
 15.50    -183.32    -345.62     -8.60     26.75    0    0    1
 15.75    -182.80    -339.83     -2.31     46.01    0    0    0
 16.00    -183.92    -338.67     -2.33      0.58    1    1    0
 16.25    -197.37    -347.75     -4.42     43.66    0    0    0
 16.50    -187.41    -341.07     -5.93    146.51    0    0    0
 16.75    -182.67    -334.34     -3.33      0.37    1    1    0
 17.00    -182.67    -332.17     -2.09      0.20    1    1    0
 17.25    -182.67    -331.44     -1.38      0.20    1    1    0
 17.50    -182.67    -331.08     -1.02      0.14    1    1    0
 17.75    -182.67    -330.97     -0.34      0.14    1    1    0
 18.00    -182.67    -330.89     -0.83      0.16    1    1    0
 18.25    -182.67    -330.86     -0.85      0.33    1    1    0
 18.50    -182.67    -330.83     -0.20      0.36    1    1    0
 18.75    -182.67    -330.80     -0.76      0.32    1    1    0
 19.00    -182.67    -330.77     -0.73      0.28    1    1    0
 19.25    -182.67    -330.80     -0.22      0.33    1    1    0
 19.50    -182.67    -330.76     +0.06      0.05    1    1    0
 19.75    -182.68    -330.74     -0.75      0.09    1    1    0
 20.00    -182.68    -330.73     -0.76      0.30    1    1    0
 20.25    -182.68    -330.73     -0.77      0.16    1    1    0
 20.50    -182.68    -330.74     -0.16      0.13    1    1    0
 20.75    -182.68    -330.76     -0.19      0.40    1    1    0
 21.00    -182.68    -330.73     -0.73      0.29    1    1    0
 21.25    -182.68    -330.71     -0.15      0.39    1    1    0
 21.50    -182.69    -330.74     -0.20      0.20    1    1    0
 21.75    -182.69    -330.74     -0.21      0.22    1    1    0
 22.00    -182.70    -330.77     -0.61      0.81    1    1    0
 22.25    -195.46    -339.79     +0.01    208.92    0    0    0
 22.50    -235.88    -368.24    +15.07    152.87    0    0    0
 22.75    -271.73    -393.25    +27.98    198.38    0    0    0
 23.00    -287.80    -404.96    +32.22     19.53    0    0    0
 23.25    -297.37    -411.96    +35.59      9.00    0    0    1
